group_id,time_bin,focal_stance_revealed,stance_in_this_window,initial_alignment,post_stance_differences,time_seconds,matchedQuestion,matchedDomain,matchedTolerance,stance,pct_expect_commonality,post_stance_shared_reality,post_stance_shared_reality_agree_count,post_stance_shared_reality_confidence,post_stance_topic_scope,post_stance_topic_scope_agree_count,post_stance_topic_scope_confidence,post_stance_inner_state_dimension,post_stance_inner_state_dimension_agree_count,post_stance_inner_state_dimension_confidence,conversational_goal,conversational_goal_agree_count,conversational_goal_confidence
actual-pink,12,True,False,agreement,False,195,Are you a spiritual person?,religion,0,shared,1.0,False,3,unanimous,rapport_only,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
additional-olive,0,False,False,not_discussed,False,15,Do you eat breakfast?,arbitrary,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
additional-olive,1,False,False,not_discussed,False,30,Do you eat breakfast?,arbitrary,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
additional-olive,2,False,False,not_discussed,False,45,Do you eat breakfast?,arbitrary,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
additional-olive,3,False,False,not_discussed,False,60,Do you eat breakfast?,arbitrary,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
additional-olive,4,False,False,not_discussed,False,75,Do you eat breakfast?,arbitrary,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
additional-olive,6,True,True,agreement,False,105,Do you eat breakfast?,arbitrary,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_thoughts,3,unanimous,stance_sharing,3,unanimous
additional-olive,7,True,False,agreement,False,120,Do you eat breakfast?,arbitrary,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
additional-olive,9,True,False,agreement,False,150,Do you eat breakfast?,arbitrary,0,shared,1.0,False,3,unanimous,rapport_only,3,unanimous,none,3,unanimous,sharing_experience,3,unanimous
additional-olive,10,True,False,agreement,False,165,Do you eat breakfast?,arbitrary,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,2,majority
additional-olive,11,True,False,agreement,False,180,Do you eat breakfast?,arbitrary,0,shared,1.0,False,3,unanimous,rapport_only,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
aggregate-emerald,2,False,False,unclear,False,45,Do you feel like an outsider in your local community?,identity,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
aggregate-emerald,5,True,True,agreement,False,90,Do you feel like an outsider in your local community?,identity,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_feelings,3,unanimous,stance_sharing,2,majority
aggregate-emerald,8,True,False,agreement,False,135,Do you feel like an outsider in your local community?,identity,0,shared,1.0,True,3,unanimous,same_values,2,majority,shared_thoughts,3,unanimous,sharing_experience,3,unanimous
aggregate-emerald,10,True,False,agreement,False,165,Do you feel like an outsider in your local community?,identity,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_thoughts,3,unanimous,finding_commonality,3,unanimous
aggregate-emerald,11,True,False,agreement,False,180,Do you feel like an outsider in your local community?,identity,0,shared,1.0,True,2,majority,same_values,2,majority,shared_beliefs,2,majority,exploring_nuance,2,majority
aggregate-emerald,12,True,False,agreement,False,195,Do you feel like an outsider in your local community?,identity,0,shared,1.0,True,3,unanimous,related_subtopic,2,majority,shared_beliefs,3,unanimous,finding_commonality,3,unanimous
aggregate-indigo,0,False,False,not_discussed,False,15,Do you exercise regularly?,arbitrary,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
aggregate-indigo,1,False,False,unclear,False,30,Do you exercise regularly?,arbitrary,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
aggregate-indigo,3,True,True,disagreement,True,60,Do you exercise regularly?,arbitrary,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
aggregate-indigo,4,True,False,disagreement,False,75,Do you exercise regularly?,arbitrary,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
aggregate-indigo,7,True,False,disagreement,False,120,Do you exercise regularly?,arbitrary,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,3,unanimous
aggregate-indigo,10,True,False,disagreement,False,165,Do you exercise regularly?,arbitrary,4,opposing,0.5,True,3,unanimous,related_subtopic,3,unanimous,shared_thoughts,3,unanimous,other,2,majority
alright-silver,1,False,False,not_discussed,False,30,Do you live in a city?,background,4,opposing,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
alright-silver,4,False,False,not_discussed,False,75,Do you live in a city?,background,4,opposing,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
alright-silver,6,False,False,unclear,False,105,Do you live in a city?,background,4,opposing,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,finding_commonality,3,unanimous
alright-silver,7,True,False,unclear,False,120,Do you live in a city?,background,4,opposing,1.0,False,3,unanimous,rapport_only,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
alright-silver,9,True,False,unclear,False,150,Do you live in a city?,background,4,opposing,1.0,False,3,unanimous,none,2,majority,none,3,unanimous,rapport_building,3,unanimous
alright-silver,10,False,False,unclear,False,165,Do you live in a city?,background,4,opposing,1.0,False,3,unanimous,rapport_only,2,majority,none,3,unanimous,rapport_building,3,unanimous
alternative-scarlet,0,False,False,not_discussed,False,15,Do you regularly attend religious services?,religion,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
alternative-scarlet,1,False,False,not_discussed,False,30,Do you regularly attend religious services?,religion,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
alternative-scarlet,2,False,False,not_discussed,False,45,Do you regularly attend religious services?,religion,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
alternative-scarlet,3,False,False,unclear,False,60,Do you regularly attend religious services?,religion,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
alternative-scarlet,5,True,True,disagreement,True,90,Do you regularly attend religious services?,religion,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
alternative-scarlet,6,True,False,disagreement,False,105,Do you regularly attend religious services?,religion,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
alternative-scarlet,7,True,False,disagreement,False,120,Do you regularly attend religious services?,religion,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
alternative-scarlet,9,True,False,disagreement,False,150,Do you regularly attend religious services?,religion,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
alternative-scarlet,11,True,False,disagreement,True,180,Do you regularly attend religious services?,religion,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
annoyed-lavender,0,False,False,not_discussed,False,15,Do you work from home?,arbitrary,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
annoyed-lavender,1,True,True,agreement,False,30,Do you work from home?,arbitrary,4,opposing,0.5,False,2,majority,none,2,majority,none,2,majority,stance_sharing,3,unanimous
annoyed-lavender,2,True,False,agreement,False,45,Do you work from home?,arbitrary,4,opposing,0.5,False,3,unanimous,rapport_only,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
annoyed-lavender,3,True,False,agreement,False,60,Do you work from home?,arbitrary,4,opposing,0.5,True,3,unanimous,same_values,2,majority,shared_feelings,3,unanimous,stance_sharing,3,unanimous
annoyed-lavender,4,True,False,agreement,False,75,Do you work from home?,arbitrary,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
annoyed-lavender,9,True,False,agreement,False,150,Do you work from home?,arbitrary,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
annoyed-lavender,12,True,False,agreement,False,195,Do you work from home?,arbitrary,4,opposing,0.5,True,3,unanimous,related_subtopic,3,unanimous,shared_thoughts,3,unanimous,finding_commonality,3,unanimous
anonymous-white,0,False,False,not_discussed,False,15,Do you attend live music concerts?,preferences,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
anonymous-white,1,True,True,agreement,False,30,Do you attend live music concerts?,preferences,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_feelings,3,unanimous,stance_sharing,3,unanimous
anonymous-white,2,True,False,agreement,False,45,Do you attend live music concerts?,preferences,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
anonymous-white,3,True,False,agreement,False,60,Do you attend live music concerts?,preferences,0,shared,1.0,True,3,unanimous,related_subtopic,3,unanimous,shared_feelings,3,unanimous,sharing_experience,2,majority
anonymous-white,4,True,False,agreement,False,75,Do you attend live music concerts?,preferences,0,shared,1.0,False,3,unanimous,rapport_only,2,majority,none,3,unanimous,perspective_seeking,2,majority
anonymous-white,6,True,False,agreement,False,105,Do you attend live music concerts?,preferences,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
anonymous-white,7,True,False,agreement,False,120,Do you attend live music concerts?,preferences,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
anonymous-white,8,True,False,agreement,False,135,Do you attend live music concerts?,preferences,0,shared,1.0,True,3,unanimous,related_subtopic,3,unanimous,shared_thoughts,3,unanimous,finding_commonality,3,unanimous
anonymous-white,9,True,False,agreement,False,150,Do you attend live music concerts?,preferences,0,shared,1.0,True,3,unanimous,related_subtopic,3,unanimous,shared_thoughts,3,unanimous,sharing_experience,3,unanimous
anonymous-white,10,True,False,agreement,False,165,Do you attend live music concerts?,preferences,0,shared,1.0,True,3,unanimous,related_subtopic,3,unanimous,shared_feelings,2,majority,sharing_experience,3,unanimous
anonymous-white,11,True,False,agreement,False,180,Do you attend live music concerts?,preferences,0,shared,1.0,True,3,unanimous,related_subtopic,3,unanimous,shared_thoughts,3,unanimous,finding_commonality,3,unanimous
appalling-green,1,False,False,not_discussed,False,30,Do you attend live music concerts?,preferences,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
appalling-green,2,True,True,agreement,False,45,Do you attend live music concerts?,preferences,4,opposing,0.5,True,3,unanimous,related_subtopic,2,majority,shared_thoughts,3,unanimous,stance_sharing,3,unanimous
appalling-green,3,True,False,agreement,False,60,Do you attend live music concerts?,preferences,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,3,unanimous
appalling-green,5,True,False,agreement,True,90,Do you attend live music concerts?,preferences,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,persuading,3,unanimous
appalling-green,6,True,False,agreement,False,105,Do you attend live music concerts?,preferences,4,opposing,0.5,True,3,unanimous,related_subtopic,3,unanimous,shared_thoughts,3,unanimous,exploring_nuance,2,majority
appalling-green,7,True,False,agreement,False,120,Do you attend live music concerts?,preferences,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,exploring_nuance,1,no_consensus
appalling-green,8,True,False,agreement,False,135,Do you attend live music concerts?,preferences,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
appalling-green,9,True,False,agreement,False,150,Do you attend live music concerts?,preferences,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,2,majority
appalling-green,10,True,False,agreement,False,165,Do you attend live music concerts?,preferences,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,2,majority
appalling-green,11,True,False,agreement,False,180,Do you attend live music concerts?,preferences,4,opposing,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,2,majority
apparent-aqua,2,False,False,not_discussed,False,45,Should events in politicians' personal lives impact their ability to hold public office?,politics,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
apparent-aqua,3,True,True,disagreement,False,60,Should events in politicians' personal lives impact their ability to hold public office?,politics,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
apparent-aqua,4,True,False,disagreement,False,75,Should events in politicians' personal lives impact their ability to hold public office?,politics,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,exploring_nuance,3,unanimous
apparent-aqua,5,True,False,unclear,False,90,Should events in politicians' personal lives impact their ability to hold public office?,politics,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,3,unanimous
apparent-aqua,6,True,False,disagreement,False,105,Should events in politicians' personal lives impact their ability to hold public office?,politics,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,other,3,unanimous
apparent-aqua,8,True,False,unclear,False,135,Should events in politicians' personal lives impact their ability to hold public office?,politics,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,2,majority
apparent-aqua,9,True,False,unclear,False,150,Should events in politicians' personal lives impact their ability to hold public office?,politics,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,exploring_nuance,3,unanimous
apparent-aqua,11,True,False,unclear,False,180,Should events in politicians' personal lives impact their ability to hold public office?,politics,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
appropriate-emerald,0,False,False,not_discussed,False,15,Do you identify as the gender which you were assigned at birth?,identity,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
appropriate-emerald,1,False,False,not_discussed,False,30,Do you identify as the gender which you were assigned at birth?,identity,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
appropriate-emerald,2,False,False,not_discussed,False,45,Do you identify as the gender which you were assigned at birth?,identity,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
appropriate-emerald,3,True,True,agreement,False,60,Do you identify as the gender which you were assigned at birth?,identity,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_thoughts,3,unanimous,stance_sharing,3,unanimous
appropriate-emerald,7,True,False,agreement,False,120,Do you identify as the gender which you were assigned at birth?,identity,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,exploring_nuance,3,unanimous
appropriate-emerald,10,True,False,agreement,False,165,Do you identify as the gender which you were assigned at birth?,identity,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_beliefs,3,unanimous,finding_commonality,3,unanimous
appropriate-emerald,11,True,False,agreement,False,180,Do you identify as the gender which you were assigned at birth?,identity,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_beliefs,3,unanimous,stance_sharing,3,unanimous
architectural-coral,2,False,False,not_discussed,False,45,Do you identify as the gender which you were assigned at birth?,identity,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
architectural-coral,3,True,True,agreement,False,60,Do you identify as the gender which you were assigned at birth?,identity,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_thoughts,3,unanimous,stance_sharing,3,unanimous
architectural-coral,4,True,False,agreement,False,75,Do you identify as the gender which you were assigned at birth?,identity,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,other,3,unanimous
architectural-coral,7,True,False,agreement,False,120,Do you identify as the gender which you were assigned at birth?,identity,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_thoughts,2,majority,sharing_experience,3,unanimous
architectural-coral,8,True,False,agreement,False,135,Do you identify as the gender which you were assigned at birth?,identity,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_thoughts,3,unanimous,exploring_nuance,3,unanimous
architectural-coral,11,True,False,agreement,False,180,Do you identify as the gender which you were assigned at birth?,identity,0,shared,1.0,True,3,unanimous,related_subtopic,3,unanimous,shared_thoughts,3,unanimous,exploring_nuance,3,unanimous
associated-harlequin,0,False,False,not_discussed,False,15,Do you believe in God or a higher power?,religion,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
associated-harlequin,1,True,True,agreement,False,30,Do you believe in God or a higher power?,religion,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_beliefs,3,unanimous,stance_sharing,3,unanimous
associated-harlequin,2,True,False,agreement,False,45,Do you believe in God or a higher power?,religion,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
associated-harlequin,3,True,False,agreement,False,60,Do you believe in God or a higher power?,religion,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,3,unanimous
associated-harlequin,4,True,False,agreement,False,75,Do you believe in God or a higher power?,religion,0,shared,1.0,False,3,unanimous,rapport_only,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
associated-harlequin,5,True,False,agreement,False,90,Do you believe in God or a higher power?,religion,0,shared,1.0,True,2,majority,related_subtopic,2,majority,shared_thoughts,2,majority,finding_commonality,2,majority
associated-harlequin,6,True,False,agreement,False,105,Do you believe in God or a higher power?,religion,0,shared,1.0,True,2,majority,related_subtopic,2,majority,shared_thoughts,2,majority,rapport_building,3,unanimous
associated-harlequin,8,True,False,agreement,False,135,Do you believe in God or a higher power?,religion,0,shared,1.0,False,3,unanimous,rapport_only,2,majority,none,3,unanimous,rapport_building,3,unanimous
associated-harlequin,10,True,False,agreement,False,165,Do you believe in God or a higher power?,religion,0,shared,1.0,False,3,unanimous,rapport_only,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
associated-harlequin,11,True,False,agreement,False,180,Do you believe in God or a higher power?,religion,0,shared,1.0,False,3,unanimous,rapport_only,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
awful-violet,1,False,False,unclear,False,30,Do you identify as the gender which you were assigned at birth?,identity,4,opposing,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
awful-violet,2,True,True,agreement,False,45,Do you identify as the gender which you were assigned at birth?,identity,4,opposing,1.0,True,2,majority,same_values,2,majority,shared_beliefs,2,majority,stance_sharing,3,unanimous
awful-violet,4,True,False,agreement,False,75,Do you identify as the gender which you were assigned at birth?,identity,4,opposing,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
awful-violet,6,True,False,agreement,False,105,Do you identify as the gender which you were assigned at birth?,identity,4,opposing,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
bare-rose,0,False,False,not_discussed,False,15,Do you live in a city?,background,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
bare-rose,1,False,False,not_discussed,False,30,Do you live in a city?,background,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
bare-rose,3,False,False,not_discussed,False,60,Do you live in a city?,background,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
bare-rose,4,True,True,unclear,False,75,Do you live in a city?,background,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
bare-rose,5,True,False,agreement,False,90,Do you live in a city?,background,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,2,majority
bare-rose,6,True,False,disagreement,False,105,Do you live in a city?,background,0,shared,0.5,True,3,unanimous,related_subtopic,3,unanimous,shared_feelings,3,unanimous,finding_commonality,3,unanimous
bare-rose,7,True,False,disagreement,False,120,Do you live in a city?,background,0,shared,0.5,True,3,unanimous,related_subtopic,3,unanimous,shared_thoughts,3,unanimous,sharing_experience,3,unanimous
bare-rose,8,True,False,disagreement,True,135,Do you live in a city?,background,0,shared,0.5,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,2,majority
bare-rose,9,True,False,disagreement,False,150,Do you live in a city?,background,0,shared,0.5,False,3,unanimous,rapport_only,3,unanimous,none,3,unanimous,sharing_experience,3,unanimous
bare-rose,11,True,False,disagreement,False,180,Do you live in a city?,background,0,shared,0.5,True,3,unanimous,related_subtopic,3,unanimous,shared_thoughts,3,unanimous,sharing_experience,3,unanimous
beautiful-red,0,False,False,not_discussed,False,15,Do you enjoy museums?,preferences,1,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
beautiful-red,1,False,False,unclear,False,30,Do you enjoy museums?,preferences,1,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
beautiful-red,2,True,True,agreement,False,45,Do you enjoy museums?,preferences,1,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_feelings,3,unanimous,stance_sharing,3,unanimous
beautiful-red,4,True,False,agreement,False,75,Do you enjoy museums?,preferences,1,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,3,unanimous
beautiful-red,5,True,False,agreement,False,90,Do you enjoy museums?,preferences,1,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
beautiful-red,7,True,False,agreement,False,120,Do you enjoy museums?,preferences,1,shared,1.0,False,3,unanimous,rapport_only,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
beautiful-red,9,True,False,agreement,False,150,Do you enjoy museums?,preferences,1,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,3,unanimous
beautiful-red,10,True,False,agreement,False,165,Do you enjoy museums?,preferences,1,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
beautiful-red,11,True,False,agreement,False,180,Do you enjoy museums?,preferences,1,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,other,3,unanimous
big-ivory,1,False,False,not_discussed,False,30,Do you believe in God or a higher power?,religion,4,opposing,0.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
big-ivory,2,True,True,disagreement,True,45,Do you believe in God or a higher power?,religion,4,opposing,0.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
big-ivory,3,True,False,disagreement,False,60,Do you believe in God or a higher power?,religion,4,opposing,0.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
big-ivory,4,True,False,disagreement,False,75,Do you believe in God or a higher power?,religion,4,opposing,0.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
big-ivory,6,True,False,disagreement,True,105,Do you believe in God or a higher power?,religion,4,opposing,0.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,3,unanimous
big-ivory,7,True,False,disagreement,False,120,Do you believe in God or a higher power?,religion,4,opposing,0.0,True,3,unanimous,related_subtopic,3,unanimous,shared_thoughts,3,unanimous,finding_commonality,2,majority
big-ivory,8,True,False,disagreement,False,135,Do you believe in God or a higher power?,religion,4,opposing,0.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
