pid,question,true_response,prob_correct,category,question_domain,matched_domain
65c1158c42ae46b4f170955f,18,1,0.5,different_domain,morality,arbitrary
65c1158c42ae46b4f170955f,19,1,0.1,different_domain,morality,arbitrary
65c1158c42ae46b4f170955f,20,3,0.2,different_domain,politics,arbitrary
65c1158c42ae46b4f170955f,21,1,0.35,different_domain,politics,arbitrary
65c1158c42ae46b4f170955f,22,1,0.2,different_domain,politics,arbitrary
65c1158c42ae46b4f170955f,23,5,0.2,different_domain,politics,arbitrary
65c1158c42ae46b4f170955f,24,5,0.6,different_domain,politics,arbitrary
65c1158c42ae46b4f170955f,25,5,0.25,different_domain,preferences,arbitrary
65c1158c42ae46b4f170955f,26,5,0.25,different_domain,preferences,arbitrary
65c1158c42ae46b4f170955f,27,5,0.1,different_domain,preferences,arbitrary
65c1158c42ae46b4f170955f,28,4,0.3,different_domain,preferences,arbitrary
65c1158c42ae46b4f170955f,29,5,0.1,different_domain,preferences,arbitrary
65c1158c42ae46b4f170955f,30,5,0.1,different_domain,religion,arbitrary
65c1158c42ae46b4f170955f,31,1,0.15,different_domain,religion,arbitrary
65c1158c42ae46b4f170955f,32,5,0.15,different_domain,religion,arbitrary
65c1158c42ae46b4f170955f,33,4,0.25,different_domain,religion,arbitrary
65c1158c42ae46b4f170955f,34,5,0.2,different_domain,religion,arbitrary
6755f22325fdddb95444d0ce,1,4,0.4,different_domain,arbitrary,morality
6755f22325fdddb95444d0ce,2,5,0.1,different_domain,arbitrary,morality
6755f22325fdddb95444d0ce,3,4,0.35,different_domain,arbitrary,morality
6755f22325fdddb95444d0ce,4,4,0.3,different_domain,arbitrary,morality
6755f22325fdddb95444d0ce,5,4,0.15,different_domain,background,morality
6755f22325fdddb95444d0ce,6,2,0.1,different_domain,background,morality
6755f22325fdddb95444d0ce,7,1,0.02,different_domain,background,morality
6755f22325fdddb95444d0ce,8,5,0.25,different_domain,background,morality
6755f22325fdddb95444d0ce,9,4,0.15,different_domain,background,morality
6755f22325fdddb95444d0ce,10,4,0.2,different_domain,identity,morality
6755f22325fdddb95444d0ce,11,2,0.01,different_domain,identity,morality
6755f22325fdddb95444d0ce,12,5,0.7,different_domain,identity,morality
6755f22325fdddb95444d0ce,13,5,0.05,different_domain,identity,morality
6755f22325fdddb95444d0ce,14,3,0.1,different_domain,identity,morality
6755f22325fdddb95444d0ce,15,2,0.25,same_domain,morality,morality
6755f22325fdddb95444d0ce,16,3,0.1,same_domain,morality,morality
6755f22325fdddb95444d0ce,17,2,0.0,same_domain,morality,morality
6755f22325fdddb95444d0ce,18,3,0.15,matched,morality,morality
6755f22325fdddb95444d0ce,19,1,0.1,same_domain,morality,morality
6755f22325fdddb95444d0ce,20,4,0.25,different_domain,politics,morality
6755f22325fdddb95444d0ce,21,1,0.15,different_domain,politics,morality
6755f22325fdddb95444d0ce,22,3,0.25,different_domain,politics,morality
6755f22325fdddb95444d0ce,23,3,0.2,different_domain,politics,morality
6755f22325fdddb95444d0ce,24,5,0.6,different_domain,politics,morality
6755f22325fdddb95444d0ce,25,5,0.25,different_domain,preferences,morality
6755f22325fdddb95444d0ce,26,5,0.25,different_domain,preferences,morality
6755f22325fdddb95444d0ce,27,4,0.2,different_domain,preferences,morality
6755f22325fdddb95444d0ce,28,3,0.15,different_domain,preferences,morality
6755f22325fdddb95444d0ce,29,5,0.15,different_domain,preferences,morality
6755f22325fdddb95444d0ce,30,4,0.15,different_domain,religion,morality
6755f22325fdddb95444d0ce,31,1,0.1,different_domain,religion,morality
6755f22325fdddb95444d0ce,32,4,0.2,different_domain,religion,morality
6755f22325fdddb95444d0ce,33,1,0.15,different_domain,religion,morality
6755f22325fdddb95444d0ce,34,4,0.2,different_domain,religion,morality
5f14686a138862017444cdb7,1,4,0.4,different_domain,arbitrary,identity
5f14686a138862017444cdb7,2,5,0.15,different_domain,arbitrary,identity
5f14686a138862017444cdb7,3,5,0.05,different_domain,arbitrary,identity
5f14686a138862017444cdb7,4,5,0.3,different_domain,arbitrary,identity
5f14686a138862017444cdb7,5,5,0.15,different_domain,background,identity
5f14686a138862017444cdb7,6,1,0.6,different_domain,background,identity
5f14686a138862017444cdb7,7,1,0.02,different_domain,background,identity
5f14686a138862017444cdb7,8,4,0.25,different_domain,background,identity
5f14686a138862017444cdb7,9,5,0.2,different_domain,background,identity
5f14686a138862017444cdb7,10,5,1.0,same_domain,identity,identity
5f14686a138862017444cdb7,11,1,0.01,matched,identity,identity
5f14686a138862017444cdb7,12,1,0.02,same_domain,identity,identity
5f14686a138862017444cdb7,13,1,0.3,same_domain,identity,identity
5f14686a138862017444cdb7,14,5,0.5,same_domain,identity,identity
5f14686a138862017444cdb7,15,5,0.05,different_domain,morality,identity
5f14686a138862017444cdb7,16,2,0.3,different_domain,morality,identity
5f14686a138862017444cdb7,17,1,0.1,different_domain,morality,identity
5f14686a138862017444cdb7,18,5,0.05,different_domain,morality,identity
5f14686a138862017444cdb7,19,1,0.1,different_domain,morality,identity
5f14686a138862017444cdb7,20,5,0.1,different_domain,politics,identity
5f14686a138862017444cdb7,21,1,0.25,different_domain,politics,identity
5f14686a138862017444cdb7,22,1,0.15,different_domain,politics,identity
5f14686a138862017444cdb7,23,5,0.3,different_domain,politics,identity
5f14686a138862017444cdb7,24,5,0.6,different_domain,politics,identity
5f14686a138862017444cdb7,25,5,0.2,different_domain,preferences,identity
5f14686a138862017444cdb7,26,5,0.1,different_domain,preferences,identity
5f14686a138862017444cdb7,27,5,0.2,different_domain,preferences,identity
5f14686a138862017444cdb7,28,5,0.2,different_domain,preferences,identity
5f14686a138862017444cdb7,29,5,0.05,different_domain,preferences,identity
5f14686a138862017444cdb7,30,5,0.15,different_domain,religion,identity
5f14686a138862017444cdb7,31,1,0.2,different_domain,religion,identity
5f14686a138862017444cdb7,32,1,0.35,different_domain,religion,identity
5f14686a138862017444cdb7,33,1,0.2,different_domain,religion,identity
5f14686a138862017444cdb7,34,3,0.25,different_domain,religion,identity
651c1abbc73b6eea8fa97193,1,1,0.05,different_domain,arbitrary,religion
651c1abbc73b6eea8fa97193,2,5,0.1,different_domain,arbitrary,religion
651c1abbc73b6eea8fa97193,3,1,0.1,different_domain,arbitrary,religion
651c1abbc73b6eea8fa97193,4,5,0.3,different_domain,arbitrary,religion
651c1abbc73b6eea8fa97193,5,4,0.15,different_domain,background,religion
651c1abbc73b6eea8fa97193,6,1,0.6,different_domain,background,religion
651c1abbc73b6eea8fa97193,7,1,0.05,different_domain,background,religion
651c1abbc73b6eea8fa97193,8,4,0.3,different_domain,background,religion
651c1abbc73b6eea8fa97193,9,1,0.2,different_domain,background,religion
651c1abbc73b6eea8fa97193,10,2,0.15,different_domain,identity,religion
651c1abbc73b6eea8fa97193,11,1,0.05,different_domain,identity,religion
651c1abbc73b6eea8fa97193,12,5,0.6,different_domain,identity,religion
651c1abbc73b6eea8fa97193,13,5,0.1,different_domain,identity,religion
651c1abbc73b6eea8fa97193,14,1,0.15,different_domain,identity,religion
651c1abbc73b6eea8fa97193,15,5,0.05,different_domain,morality,religion
651c1abbc73b6eea8fa97193,16,3,0.25,different_domain,morality,religion
651c1abbc73b6eea8fa97193,17,3,0.25,different_domain,morality,religion
651c1abbc73b6eea8fa97193,18,3,0.25,different_domain,morality,religion
651c1abbc73b6eea8fa97193,19,3,0.25,different_domain,morality,religion
651c1abbc73b6eea8fa97193,20,3,0.2,different_domain,politics,religion
651c1abbc73b6eea8fa97193,21,2,0.3,different_domain,politics,religion
651c1abbc73b6eea8fa97193,22,3,0.2,different_domain,politics,religion
651c1abbc73b6eea8fa97193,23,5,0.2,different_domain,politics,religion
651c1abbc73b6eea8fa97193,24,4,0.25,different_domain,politics,religion
651c1abbc73b6eea8fa97193,25,5,0.45,different_domain,preferences,religion
651c1abbc73b6eea8fa97193,26,4,0.35,different_domain,preferences,religion
651c1abbc73b6eea8fa97193,27,5,0.1,different_domain,preferences,religion
651c1abbc73b6eea8fa97193,28,4,0.35,different_domain,preferences,religion
651c1abbc73b6eea8fa97193,29,4,1.0,different_domain,preferences,religion
651c1abbc73b6eea8fa97193,30,4,0.15,matched,religion,religion
651c1abbc73b6eea8fa97193,31,1,0.15,same_domain,religion,religion
651c1abbc73b6eea8fa97193,32,1,0.35,same_domain,religion,religion
651c1abbc73b6eea8fa97193,33,1,0.25,same_domain,religion,religion
651c1abbc73b6eea8fa97193,34,1,0.2,same_domain,religion,religion
6743028dba3a6dfeeeb534ea,1,3,0.1,different_domain,arbitrary,identity
6743028dba3a6dfeeeb534ea,2,3,0.1,different_domain,arbitrary,identity
6743028dba3a6dfeeeb534ea,3,5,0.1,different_domain,arbitrary,identity
6743028dba3a6dfeeeb534ea,4,5,0.3,different_domain,arbitrary,identity
6743028dba3a6dfeeeb534ea,5,5,0.1,different_domain,background,identity
6743028dba3a6dfeeeb534ea,6,1,0.6,different_domain,background,identity
6743028dba3a6dfeeeb534ea,7,1,0.03,different_domain,background,identity
6743028dba3a6dfeeeb534ea,8,2,0.2,different_domain,background,identity
6743028dba3a6dfeeeb534ea,9,4,1.0,different_domain,background,identity
6743028dba3a6dfeeeb534ea,10,4,0.2,matched,identity,identity
6743028dba3a6dfeeeb534ea,11,2,0.01,same_domain,identity,identity
6743028dba3a6dfeeeb534ea,12,5,0.8,same_domain,identity,identity
6743028dba3a6dfeeeb534ea,13,5,0.05,same_domain,identity,identity
6743028dba3a6dfeeeb534ea,14,2,0.1,same_domain,identity,identity
6743028dba3a6dfeeeb534ea,15,3,0.15,different_domain,morality,identity
6743028dba3a6dfeeeb534ea,16,3,0.15,different_domain,morality,identity
6743028dba3a6dfeeeb534ea,17,1,0.05,different_domain,morality,identity
6743028dba3a6dfeeeb534ea,18,1,0.5,different_domain,morality,identity
6743028dba3a6dfeeeb534ea,19,2,0.1,different_domain,morality,identity
6743028dba3a6dfeeeb534ea,20,5,0.05,different_domain,politics,identity
6743028dba3a6dfeeeb534ea,21,5,0.05,different_domain,politics,identity
6743028dba3a6dfeeeb534ea,22,3,0.3,different_domain,politics,identity
6743028dba3a6dfeeeb534ea,23,4,0.3,different_domain,politics,identity
6743028dba3a6dfeeeb534ea,24,3,0.1,different_domain,politics,identity
6743028dba3a6dfeeeb534ea,25,4,0.35,different_domain,preferences,identity
6743028dba3a6dfeeeb534ea,26,4,0.3,different_domain,preferences,identity
6743028dba3a6dfeeeb534ea,27,1,0.1,different_domain,preferences,identity
6743028dba3a6dfeeeb534ea,28,3,0.2,different_domain,preferences,identity
6743028dba3a6dfeeeb534ea,29,5,0.05,different_domain,preferences,identity
6743028dba3a6dfeeeb534ea,30,2,0.2,different_domain,religion,identity
6743028dba3a6dfeeeb534ea,31,5,0.2,different_domain,religion,identity
6743028dba3a6dfeeeb534ea,32,5,0.15,different_domain,religion,identity
6743028dba3a6dfeeeb534ea,33,5,0.3,different_domain,religion,identity
6743028dba3a6dfeeeb534ea,34,5,0.25,different_domain,religion,identity
66f3af39161ce99b4ec75a71,1,4,0.3,different_domain,arbitrary,identity
66f3af39161ce99b4ec75a71,2,4,0.15,different_domain,arbitrary,identity
66f3af39161ce99b4ec75a71,3,4,0.15,different_domain,arbitrary,identity
66f3af39161ce99b4ec75a71,4,4,0.25,different_domain,arbitrary,identity
66f3af39161ce99b4ec75a71,5,5,0.15,different_domain,background,identity
66f3af39161ce99b4ec75a71,6,4,0.05,different_domain,background,identity
66f3af39161ce99b4ec75a71,7,1,0.05,different_domain,background,identity
66f3af39161ce99b4ec75a71,8,5,0.2,different_domain,background,identity
66f3af39161ce99b4ec75a71,9,5,0.0,different_domain,background,identity
66f3af39161ce99b4ec75a71,10,4,0.2,matched,identity,identity
66f3af39161ce99b4ec75a71,11,5,0.7,same_domain,identity,identity
66f3af39161ce99b4ec75a71,12,5,0.6,same_domain,identity,identity
66f3af39161ce99b4ec75a71,13,1,0.25,same_domain,identity,identity
66f3af39161ce99b4ec75a71,14,2,0.15,same_domain,identity,identity
66f3af39161ce99b4ec75a71,15,5,0.02,different_domain,morality,identity
66f3af39161ce99b4ec75a71,16,2,0.3,different_domain,morality,identity
66f3af39161ce99b4ec75a71,17,1,0.1,different_domain,morality,identity
66f3af39161ce99b4ec75a71,18,4,0.1,different_domain,morality,identity
66f3af39161ce99b4ec75a71,19,5,0.3,different_domain,morality,identity
66f3af39161ce99b4ec75a71,20,4,0.1,different_domain,politics,identity
66f3af39161ce99b4ec75a71,21,4,0.08,different_domain,politics,identity
66f3af39161ce99b4ec75a71,22,4,0.2,different_domain,politics,identity
66f3af39161ce99b4ec75a71,23,5,0.2,different_domain,politics,identity
66f3af39161ce99b4ec75a71,24,3,0.1,different_domain,politics,identity
66f3af39161ce99b4ec75a71,25,5,0.2,different_domain,preferences,identity
66f3af39161ce99b4ec75a71,26,4,0.25,different_domain,preferences,identity
66f3af39161ce99b4ec75a71,27,4,0.2,different_domain,preferences,identity
66f3af39161ce99b4ec75a71,28,2,0.2,different_domain,preferences,identity
66f3af39161ce99b4ec75a71,29,5,0.05,different_domain,preferences,identity
66f3af39161ce99b4ec75a71,30,4,0.1,different_domain,religion,identity
66f3af39161ce99b4ec75a71,31,5,0.1,different_domain,religion,identity
66f3af39161ce99b4ec75a71,32,4,0.15,different_domain,religion,identity
66f3af39161ce99b4ec75a71,33,5,0.15,different_domain,religion,identity
66f3af39161ce99b4ec75a71,34,5,0.1,different_domain,religion,identity
67acc5ed78e59babe2c5c670,1,5,0.35,same_domain,arbitrary,arbitrary
67acc5ed78e59babe2c5c670,2,3,0.0,same_domain,arbitrary,arbitrary
67acc5ed78e59babe2c5c670,3,4,0.2,matched,arbitrary,arbitrary
67acc5ed78e59babe2c5c670,4,4,0.3,same_domain,arbitrary,arbitrary
67acc5ed78e59babe2c5c670,5,5,0.15,different_domain,background,arbitrary
67acc5ed78e59babe2c5c670,6,2,0.1,different_domain,background,arbitrary
67acc5ed78e59babe2c5c670,7,2,0.03,different_domain,background,arbitrary
67acc5ed78e59babe2c5c670,8,5,0.2,different_domain,background,arbitrary
67acc5ed78e59babe2c5c670,9,5,0.2,different_domain,background,arbitrary
67acc5ed78e59babe2c5c670,10,2,0.1,different_domain,identity,arbitrary
67acc5ed78e59babe2c5c670,11,5,0.8,different_domain,identity,arbitrary
67acc5ed78e59babe2c5c670,12,5,0.75,different_domain,identity,arbitrary
67acc5ed78e59babe2c5c670,13,5,0.05,different_domain,identity,arbitrary
67acc5ed78e59babe2c5c670,14,1,0.1,different_domain,identity,arbitrary
67acc5ed78e59babe2c5c670,15,5,0.05,different_domain,morality,arbitrary
67acc5ed78e59babe2c5c670,16,1,0.4,different_domain,morality,arbitrary
67acc5ed78e59babe2c5c670,17,1,0.05,different_domain,morality,arbitrary
67acc5ed78e59babe2c5c670,18,4,0.05,different_domain,morality,arbitrary
67acc5ed78e59babe2c5c670,19,1,0.05,different_domain,morality,arbitrary
67acc5ed78e59babe2c5c670,20,4,0.1,different_domain,politics,arbitrary
67acc5ed78e59babe2c5c670,21,5,0.05,different_domain,politics,arbitrary
67acc5ed78e59babe2c5c670,22,4,0.25,different_domain,politics,arbitrary
67acc5ed78e59babe2c5c670,23,4,0.3,different_domain,politics,arbitrary
67acc5ed78e59babe2c5c670,24,3,0.15,different_domain,politics,arbitrary
67acc5ed78e59babe2c5c670,25,5,0.15,different_domain,preferences,arbitrary
67acc5ed78e59babe2c5c670,26,5,0.2,different_domain,preferences,arbitrary
67acc5ed78e59babe2c5c670,27,5,0.1,different_domain,preferences,arbitrary
67acc5ed78e59babe2c5c670,28,4,0.25,different_domain,preferences,arbitrary
67acc5ed78e59babe2c5c670,29,4,0.1,different_domain,preferences,arbitrary
67acc5ed78e59babe2c5c670,30,2,0.2,different_domain,religion,arbitrary
67acc5ed78e59babe2c5c670,31,4,0.25,different_domain,religion,arbitrary
67acc5ed78e59babe2c5c670,32,3,0.2,different_domain,religion,arbitrary
67acc5ed78e59babe2c5c670,33,4,0.25,different_domain,religion,arbitrary
67acc5ed78e59babe2c5c670,34,4,0.2,different_domain,religion,arbitrary
651d9ea96f3253abbfd8d38b,1,1,0.05,different_domain,arbitrary,background
651d9ea96f3253abbfd8d38b,2,4,0.25,different_domain,arbitrary,background
651d9ea96f3253abbfd8d38b,3,5,0.15,different_domain,arbitrary,background
651d9ea96f3253abbfd8d38b,4,2,0.15,different_domain,arbitrary,background
651d9ea96f3253abbfd8d38b,5,4,0.15,same_domain,background,background
651d9ea96f3253abbfd8d38b,6,1,0.45,same_domain,background,background
651d9ea96f3253abbfd8d38b,7,1,0.05,same_domain,background,background
651d9ea96f3253abbfd8d38b,8,5,1.0,same_domain,background,background
651d9ea96f3253abbfd8d38b,9,1,0.2,matched,background,background
651d9ea96f3253abbfd8d38b,10,5,0.2,different_domain,identity,background
651d9ea96f3253abbfd8d38b,11,5,0.75,different_domain,identity,background
651d9ea96f3253abbfd8d38b,12,5,0.5,different_domain,identity,background
651d9ea96f3253abbfd8d38b,13,5,0.1,different_domain,identity,background
651d9ea96f3253abbfd8d38b,14,2,0.15,different_domain,identity,background
651d9ea96f3253abbfd8d38b,15,1,0.3,different_domain,morality,background
651d9ea96f3253abbfd8d38b,16,5,0.05,different_domain,morality,background
651d9ea96f3253abbfd8d38b,17,4,0.35,different_domain,morality,background
651d9ea96f3253abbfd8d38b,18,5,0.05,different_domain,morality,background
651d9ea96f3253abbfd8d38b,19,2,0.15,different_domain,morality,background
651d9ea96f3253abbfd8d38b,20,3,0.25,different_domain,politics,background
651d9ea96f3253abbfd8d38b,21,1,0.35,different_domain,politics,background
651d9ea96f3253abbfd8d38b,22,2,0.15,different_domain,politics,background
651d9ea96f3253abbfd8d38b,23,5,0.15,different_domain,politics,background
651d9ea96f3253abbfd8d38b,24,5,0.5,different_domain,politics,background
651d9ea96f3253abbfd8d38b,25,4,0.4,different_domain,preferences,background
651d9ea96f3253abbfd8d38b,26,5,0.25,different_domain,preferences,background
651d9ea96f3253abbfd8d38b,27,1,0.1,different_domain,preferences,background
651d9ea96f3253abbfd8d38b,28,1,0.1,different_domain,preferences,background
651d9ea96f3253abbfd8d38b,29,5,0.1,different_domain,preferences,background
651d9ea96f3253abbfd8d38b,30,5,0.1,different_domain,religion,background
651d9ea96f3253abbfd8d38b,31,1,0.2,different_domain,religion,background
651d9ea96f3253abbfd8d38b,32,5,0.1,different_domain,religion,background
651d9ea96f3253abbfd8d38b,33,1,0.2,different_domain,religion,background
651d9ea96f3253abbfd8d38b,34,5,0.2,different_domain,religion,background
673e7db46a9488db9168db6a,1,4,0.4,different_domain,arbitrary,background
673e7db46a9488db9168db6a,2,5,0.15,different_domain,arbitrary,background
673e7db46a9488db9168db6a,3,2,0.25,different_domain,arbitrary,background
673e7db46a9488db9168db6a,4,4,0.3,different_domain,arbitrary,background
673e7db46a9488db9168db6a,5,5,0.2,same_domain,background,background
673e7db46a9488db9168db6a,6,2,0.2,same_domain,background,background
673e7db46a9488db9168db6a,7,1,0.0,same_domain,background,background
673e7db46a9488db9168db6a,8,5,0.15,matched,background,background
673e7db46a9488db9168db6a,9,5,0.1,same_domain,background,background
673e7db46a9488db9168db6a,10,4,0.25,different_domain,identity,background
673e7db46a9488db9168db6a,11,5,0.8,different_domain,identity,background
673e7db46a9488db9168db6a,12,5,0.7,different_domain,identity,background
673e7db46a9488db9168db6a,13,5,0.05,different_domain,identity,background
673e7db46a9488db9168db6a,14,2,0.15,different_domain,identity,background
673e7db46a9488db9168db6a,15,5,0.05,different_domain,morality,background
