Progress,Duration (in seconds),DistributionChannel,consent,prolificID,politics_survey_1,politics_survey_2,politics_survey_3,politics_survey_4,politics_survey_5,religion_survey_1,religion_survey_2,religion_survey_3,religion_survey_4,religion_survey_5,moral_survey_1,moral_survey_2,moral_survey_3,moral_survey_4,moral_survey_5,arbitrary_survey_1,arbitrary_survey_2,arbitrary_survey_3,arbitrary_survey_4,arbitrary_survey_5,preferences_survey_1,preferences_survey_2,preferences_survey_3,preferences_survey_4,preferences_survey_5,identity_survey_1,identity_survey_2,identity_survey_3,identity_survey_4,identity_survey_5,background_survey_1,background_survey_2,background_survey_3,background_survey_4,background_survey_5,politics_learn_1,politics_learn_3,politics_learn_4,politics_learn_7,politics_learn_8,religion_learn_1,religion_learn_2,religion_learn_3,religion_learn_5,religion_learn_9,moral_learn_1,moral_learn_6,moral_learn_7,moral_learn_9,moral_learn_10,arbitrary_learn_2,arbitrary_learn_4,arbitrary_learn_6,arbitrary_learn_7,arbitrary_learn_9,preferences_learn_1,preferences_learn_2,preferences_learn_3,preferences_learn_4,preferences_learn_5,identity_learn_1,identity_learn_2,identity_learn_4,identity_learn_6,identity_learn_8,background_learn_2,background_learn_4,background_learn_5,background_learn_6,background_learn_7,politics_interest_1,politics_interest_3,politics_interest_4,politics_interest_7,politics_interest_8,religion_interest_1,religion_interest_2,religion_interest_3,religion_interest_5,religion_interest_9,moral_interest_1,moral_interest_6,moral_interest_7,moral_interest_9,moral_interest_10,arbitrary_interest_2,arbitrary_interest_4,arbitrary_interest_6,arbitrary_interest_7,arbitrary_interest_9,preferences_interest_1,preferences_interest_2,preferences_interest_3,preferences_interest_4,preferences_interest_5,identity_interest_1,identity_interest_2,identity_interest_4,identity_interest_6,identity_interest_8,background_interest_2,background_interest_4,background_interest_5,background_interest_6,background_interest_7,politics_deep_1,politics_deep_3,politics_deep_4,politics_deep_7,politics_deep_8,religion_deep_1,religion_deep_2,religion_deep_3,religion_deep_5,religion_deep_9,moral_deep_1,moral_deep_6,moral_deep_7,moral_deep_9,moral_deep_10,arbitrary_deep_2,arbitrary_deep_4,arbitrary_deep_6,arbitrary_deep_7,arbitrary_deep_9,preferences_deep_1,preferences_deep_2,preferences_deep_3,preferences_deep_4,preferences_deep_5,identity_deep_1,identity_deep_2,identity_deep_4,identity_deep_6,identity_deep_8,background_deep_2,background_deep_4,background_deep_5,background_deep_6,background_deep_7,politics_likely_1,politics_likely_3,politics_likely_4,politics_likely_7,politics_likely_8,religion_likely_1,religion_likely_2,religion_likely_3,religion_likely_5,religion_likely_9,moral_likely_1,moral_likely_6,moral_likely_7,moral_likely_9,moral_likely_10,arbitrary_likely_2,arbitrary_likely_4,arbitrary_likely_6,arbitrary_likely_7,arbitrary_likely_9,preferences_likely_1,preferences_likely_2,preferences_likely_3,preferences_likely_4,preferences_likely_5,identity_likely_1,identity_likely_2,identity_likely_4,identity_likely_6,identity_likely_8,background_likely_2,background_likely_4,background_likely_5,background_likely_6,background_likely_7,politics_divisive_1,politics_divisive_3,politics_divisive_4,politics_divisive_7,politics_divisive_8,religion_divisive_1,religion_divisive_2,religion_divisive_3,religion_divisive_5,religion_divisive_9,moral_divisive_1,moral_divisive_6,moral_divisive_7,moral_divisive_9,moral_divisive_10,arbitrary_divisive_2,arbitrary_divisive_4,arbitrary_divisive_6,arbitrary_divisive_7,arbitrary_divisive_9,preferences_divisive_1,preferences_divisive_2,preferences_divisive_3,preferences_divisive_4,preferences_divisive_5,identity_divisive_1,identity_divisive_2,identity_divisive_4,identity_divisive_6,identity_divisive_8,background_divisive_2,background_divisive_4,background_divisive_5,background_divisive_6,background_divisive_7,politics_personal_1,politics_personal_3,politics_personal_4,politics_personal_7,politics_personal_8,religion_personal_1,religion_personal_2,religion_personal_3,religion_personal_5,religion_personal_9,moral_personal_1,moral_personal_6,moral_personal_7,moral_personal_9,moral_personal_10,arbitrary_personal_2,arbitrary_personal_4,arbitrary_personal_6,arbitrary_personal_7,arbitrary_personal_9,preferences_personal_1,preferences_personal_2,preferences_personal_3,preferences_personal_4,preferences_personal_5,identity_personal_1,identity_personal_2,identity_personal_4,identity_personal_6,identity_personal_8,background_personal_2,background_personal_4,background_personal_5,background_personal_6,background_personal_7,politics_relevant_1,politics_relevant_3,politics_relevant_4,politics_relevant_7,politics_relevant_8,religion_relevant_1,religion_relevant_2,religion_relevant_3,religion_relevant_5,religion_relevant_9,moral_relevant_1,moral_relevant_6,moral_relevant_7,moral_relevant_9,moral_relevant_10,arbitrary_relevant_2,arbitrary_relevant_4,arbitrary_relevant_6,arbitrary_relevant_7,arbitrary_relevant_9,preferences_relevant_1,preferences_relevant_2,preferences_relevant_3,preferences_relevant_4,preferences_relevant_5,identity_relevant_1,identity_relevant_2,identity_relevant_4,identity_relevant_6,identity_relevant_8,background_relevant_2,background_relevant_4,background_relevant_5,background_relevant_6,background_relevant_7,politics_same_1,politics_same_3,politics_same_4,politics_same_7,politics_same_8,religion_same_1,religion_same_2,religion_same_3,religion_same_5,religion_same_9,moral_same_1,moral_same_6,moral_same_7,moral_same_9,moral_same_10,arbitrary_same_2,arbitrary_same_4,arbitrary_same_6,arbitrary_same_7,arbitrary_same_9,preferences_same_1,preferences_same_2,preferences_same_3,preferences_same_4,preferences_same_5,identity_same_1,identity_same_2,identity_same_4,identity_same_6,identity_same_8,background_same_2,background_same_4,background_same_5,background_same_6,background_same_7,age,race,ethnicity,gender,handedness,PROLIFIC_PID
100,299,anonymous,Accept consent,611316bf2877819a0ec3e0a2,Probably not,Definitely not,Probably yes,Definitely yes,Definitely yes,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Probably yes,Definitely not,Probably not,Definitely not,Probably not,Probably not,Probably yes,Definitely yes,Definitely not,Definitely not,Definitely yes,Probably not,Probably yes,Definitely yes,Definitely not,Definitely not,Definitely yes,Unsure,Definitely yes,Definitely not,Probably not,Definitely not,Probably yes,Probably not,Definitely yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,60,20,55,0,0,60,0,70,75,40,65,85,45,45,60,0,0,0,5,0,0,0,20,20,0,0,0,80,45,70,51,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,White,Hispanic,Female,Right,611316bf2877819a0ec3e0a2
100,322,anonymous,Accept consent,65c283e4c4ea7a5cf9ffb892,Definitely not,Probably not,Unsure,Probably yes,Definitely yes,Probably yes,Probably yes,Probably yes,Unsure,Unsure,Probably yes,Unsure,Unsure,Probably not,Probably yes,Probably yes,Definitely yes,Definitely yes,Unsure,Unsure,Probably not,Unsure,Unsure,Probably yes,Probably yes,Unsure,Definitely not,Definitely not,Definitely yes,Definitely yes,Probably yes,Definitely not,Probably yes,Definitely not,Probably not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,90,18,27,79,35,28,59,55,24,70,93,68,15,24,58,76,22,88,64,74,61,19,55,43,80,100,97,95,73,56,75,77,40,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Other,Hispanic,Female,Right,65c283e4c4ea7a5cf9ffb892
100,331,anonymous,Accept consent,6569f75e1535619c755d8c2b,Unsure,Definitely not,Definitely yes,Definitely yes,Definitely yes,Probably not,Unsure,Unsure,Probably yes,Probably yes,Probably yes,Probably yes,Unsure,Definitely not,Probably yes,Probably yes,Definitely not,Definitely not,Probably yes,Probably not,Definitely yes,Definitely yes,Definitely not,Definitely yes,Unsure,Definitely not,Definitely yes,Definitely yes,Unsure,Definitely yes,Definitely not,Definitely not,Definitely not,Definitely yes,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,77,78,75,50,81,88,61,100,100,50,50,74,77,76,81,84,50,64,70,50,50,50,84,74,49,50,50,50,70,65,50,80,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,White,Hispanic,Female,Right,6569f75e1535619c755d8c2b
100,648,anonymous,Accept consent,5c50dd9acc71f4000125cb2e,Definitely not,Probably not,Probably yes,Definitely yes,Probably yes,Definitely not,Probably yes,Definitely not,Probably not,Unsure,Probably yes,Probably yes,Unsure,Unsure,Probably yes,Probably not,Definitely yes,Definitely not,Probably yes,Probably yes,Probably yes,Definitely yes,Definitely yes,Probably yes,Unsure,Definitely not,Definitely yes,Unsure,Probably yes,Definitely yes,Definitely not,Probably yes,Unsure,Definitely not,Probably not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,84,65,64,69,57,85,56,68,77,75,77,77,85,70,31,33,14,27,20,25,16,30,21,35,20,65,55,75,55,55,43,73,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,"Black/African-American,White",Not Hispanic,Male,Right,5c50dd9acc71f4000125cb2e
100,115,preview,Accept consent,gdfghjkl;kjhgfdghjkl;kjhgfdhjkl;,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,36,84,84,24,32,29,72,63,100,79,32,37,92,66,33,38,61,75,83,37,88,31,84,66,40,38,82,33,70,81,73,34,29,90,123,Other,Not Hispanic,Other,Left,
100,283,anonymous,Accept consent,65a7f3d44b0a522300253f55,Probably not,Probably yes,Probably yes,Definitely yes,Definitely yes,Definitely not,Probably yes,Probably not,Probably yes,Probably yes,Probably yes,Probably not,Probably yes,Definitely yes,Probably yes,Probably not,Probably yes,Definitely yes,Probably yes,Probably not,Definitely yes,Definitely yes,Probably yes,Probably yes,Probably not,Definitely not,Probably yes,Probably not,Unsure,Definitely yes,Definitely not,Definitely not,Probably yes,Probably yes,Probably not,92,72,40,70,88,54,58,50,52,58,70,70,70,80,50,58,52,50,58,52,64,54,48,64,72,64,70,44,64,40,66,78,80,52,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,White,Not Hispanic,Female,Left,65a7f3d44b0a522300253f55
100,289,anonymous,Accept consent,631647a0bf6e0dd403e171c2,Definitely not,Definitely not,Definitely not,Unsure,Definitely yes,Definitely yes,Probably not,Definitely yes,Definitely yes,Definitely yes,Probably yes,Probably not,Definitely not,Unsure,Definitely yes,Probably yes,Unsure,Unsure,Definitely not,Probably yes,Probably yes,Unsure,Definitely not,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely not,Definitely yes,Probably not,Definitely not,Definitely yes,Definitely yes,Definitely not,72,28,50,49,71,100,50,100,100,100,60,100,100,63,63,73,71,61,3,30,25,31,20,100,44,80,0,0,94,76,82,50,100,49,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,White,Not Hispanic,Female,Right,631647a0bf6e0dd403e171c2
100,281,anonymous,Accept consent,59c2855d5c50560001df9858,Probably not,Probably not,Definitely yes,Definitely yes,Definitely yes,Definitely not,Definitely not,Definitely not,Definitely not,Unsure,Definitely yes,Unsure,Probably not,Definitely not,Probably yes,Definitely not,Probably yes,Probably yes,Probably not,Probably yes,Definitely yes,Probably not,Definitely yes,Definitely yes,Unsure,Unsure,Definitely yes,Definitely not,Probably not,Definitely yes,Definitely yes,Definitely not,Definitely yes,Probably yes,Probably not,45,40,55,55,65,30,38,35,20,15,65,55,45,20,55,30,45,20,40,10,30,5,5,40,20,45,10,30,25,10,15,35,60,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,White,Not Hispanic,Male,Right,59c2855d5c50560001df9858
100,278,anonymous,Accept consent,655386dc470f6217a78fec03,Definitely not,Definitely not,Definitely not,Definitely not,Probably yes,Definitely not,Definitely yes,Definitely not,Definitely not,Probably yes,Definitely yes,Unsure,Definitely yes,Definitely not,Probably not,Probably not,Definitely yes,Definitely not,Probably not,Probably yes,Definitely yes,Definitely yes,Unsure,Probably yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,12,100,6,100,13,100,9,98,80,84,98,94,14,100,89,85,84,13,83,100,100,100,100,100,100,13,82,91,76,89,73,16,89,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,White,Not Hispanic,Female,Right,655386dc470f6217a78fec03
100,287,anonymous,Accept consent,6501bdc07ec7d13f08561aaf,Probably not,Probably not,Definitely not,Probably yes,Probably yes,Definitely not,Definitely yes,Definitely not,Definitely yes,Definitely yes,Definitely not,Definitely not,Probably yes,Definitely not,Probably yes,Definitely yes,Definitely yes,Definitely yes,Probably not,Definitely yes,Probably not,Probably yes,Probably not,Definitely yes,Probably yes,Definitely not,Definitely yes,Definitely yes,Definitely not,Definitely not,Definitely not,Definitely not,Definitely yes,Definitely not,Definitely yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,38,65,81,52,68,68,52,71,81,63,83,72,8,25,23,16,66,61,0,22,23,21,23,24,36,73,73,7,70,61,33,69,44,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,White,Not Hispanic,Female,Right,6501bdc07ec7d13f08561aaf
100,379,anonymous,Accept consent,63cee7f1f8ef24eb79c80270,Definitely not,Definitely not,Probably yes,Unsure,Probably yes,Definitely not,Probably yes,Definitely not,Unsure,Unsure,Probably yes,Probably yes,Unsure,Definitely not,Definitely yes,Definitely not,Probably not,Definitely yes,Probably not,Probably yes,Probably not,Unsure,Definitely yes,Definitely yes,Probably yes,Probably not,Definitely yes,Definitely yes,Probably not,Definitely not,Unsure,Definitely not,Definitely yes,Probably yes,Probably yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,79,50,85,60,60,65,25,35,60,65,50,90,75,60,40,80,40,80,60,50,85,85,40,70,85,80,90,65,60,80,90,85,75,28,White,Not Hispanic,Female,Right,63cee7f1f8ef24eb79c80270
100,251,anonymous,Accept consent,5df39c6805620526e328a329,Probably not,Probably not,Probably not,Probably not,Definitely yes,Unsure,Probably yes,Probably yes,Definitely yes,Probably yes,Probably not,Probably not,Unsure,Unsure,Probably yes,Probably yes,Definitely yes,Probably not,Unsure,Probably yes,Definitely yes,Definitely yes,Probably not,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Unsure,Definitely yes,Probably not,Definitely not,Definitely yes,Probably yes,Probably yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,47,43,47,52,46,76,55,87,76,68,68,47,27,50,79,85,50,48,58,89,86,75,92,91,91,93,92,62,91,31,42,100,51,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Other,Hispanic,Female,Right,5df39c6805620526e328a329
100,270,anonymous,Accept consent,651b141d2c7e5141e1ecd8c6,Definitely not,Definitely not,Probably yes,Unsure,Definitely yes,Definitely not,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Probably not,Unsure,Definitely not,Definitely yes,Probably not,Definitely yes,Definitely not,Probably not,Definitely yes,Definitely yes,Definitely yes,Probably not,Definitely yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,Unsure,Definitely not,Definitely yes,Definitely not,Unsure,Definitely yes,Definitely yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,56,70,50,57,0,81,50,95,80,0,0,0,0,0,0,100,50,50,0,88,87,97,86,72,80,0,0,37,100,100,0,100,64,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,White,Not Hispanic,Female,Right,651b141d2c7e5141e1ecd8c6
100,287,anonymous,Accept consent,62fdcda607c1d770ba1c6da8,Definitely not,Probably not,Probably not,Probably not,Definitely yes,Definitely not,Definitely not,Definitely not,Definitely not,Probably not,Definitely not,Unsure,Probably yes,Definitely not,Definitely yes,Probably not,Definitely yes,Probably yes,Probably yes,Probably not,Probably yes,Definitely yes,Probably yes,Definitely yes,Probably yes,Definitely not,Definitely yes,Definitely yes,Definitely not,Definitely not,Probably not,Definitely not,Definitely yes,Probably yes,Probably not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,67,17,30,58,59,28,31,19,30,32,50,50,78,58,40,71,23,20,27,50,25,50,57,34,28,98,88,76,35,34,40,81,47,33,39,White,Not Hispanic,Male,Right,62fdcda607c1d770ba1c6da8
100,198,anonymous,Accept consent,60da931e1679e1852fbc8693,Probably yes,Unsure,Probably yes,Probably yes,Probably yes,Definitely not,Probably yes,Probably not,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Definitely yes,Probably yes,Definitely yes,Probably not,Definitely yes,Probably yes,Definitely yes,Probably not,Definitely yes,Probably not,Definitely not,Definitely yes,Definitely yes,Definitely not,Definitely yes,Probably not,Definitely not,Definitely yes,Probably not,Definitely yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,26,59,33,75,55,82,67,88,84,38,41,39,30,69,56,88,46,60,50,44,65,56,62,42,30,94,72,59,63,67,21,80,68,68,22,White,Not Hispanic,Female,Right,60da931e1679e1852fbc8693
100,231,anonymous,Accept consent,61fa93435719bc09cb834c4f,Probably not,Definitely not,Definitely yes,Definitely yes,Definitely yes,Definitely not,Probably not,Definitely not,Unsure,Probably not,Definitely yes,Unsure,Probably yes,Unsure,Probably yes,Probably yes,Probably yes,Probably not,Unsure,Probably yes,Unsure,Probably not,Probably yes,Probably yes,Probably yes,Definitely not,Probably yes,Definitely not,Probably not,Definitely yes,Definitely not,Definitely not,Probably yes,Definitely yes,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,54,39,53,37,10,50,46,61,65,53,54,63,60,62,8,9,2,6,4,14,8,15,12,16,14,61,60,67,21,15,9,19,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,White,Not Hispanic,Female,Right,61fa93435719bc09cb834c4f
100,180,anonymous,Accept consent,6361a6a7be16d8144319fd3a,Unsure,Probably yes,Probably yes,Probably yes,Probably yes,Probably not,Probably yes,Probably not,Probably not,Unsure,Probably yes,Probably yes,Unsure,Probably not,Probably yes,Probably yes,Probably yes,Definitely yes,Probably yes,Probably not,Probably yes,Probably yes,Probably yes,Probably yes,Unsure,Definitely yes,Definitely yes,Definitely yes,Probably not,Unsure,Probably yes,Probably yes,Probably yes,Unsure,Probably not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,30,72,61,70,22,75,31,67,40,62,37,73,79,59,63,90,26,57,67,36,62,58,63,60,92,84,73,22,79,38,10,95,63,37,40,White,Not Hispanic,Female,Right,6361a6a7be16d8144319fd3a
100,307,anonymous,Accept consent,65a181a14ea84f42d0c55684,Definitely not,Probably not,Unsure,Probably yes,Probably not,Definitely not,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably not,Unsure,Definitely yes,Unsure,Probably yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely not,Probably yes,Probably yes,Probably yes,Definitely not,Probably yes,Definitely yes,Probably not,Definitely not,Definitely not,Definitely not,Definitely yes,Definitely yes,Definitely yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,81,17,87,71,22,65,22,92,77,82,87,70,78,80,18,37,22,72,8,56,15,16,82,43,7,85,19,81,15,9,76,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Other,Hispanic,Female,Right,65a181a14ea84f42d0c55684
100,312,anonymous,Accept consent,63f7aeca74d23111b47e185b,Definitely not,Definitely not,Definitely not,Unsure,Definitely not,Definitely not,Probably yes,Probably not,Unsure,Unsure,Probably yes,Unsure,Unsure,Definitely not,Probably not,Probably yes,Definitely yes,Definitely yes,Probably yes,Probably yes,Definitely yes,Definitely yes,Definitely not,Definitely yes,Definitely yes,Definitely not,Definitely yes,Definitely yes,Unsure,Definitely not,Definitely not,Definitely not,Definitely yes,Probably yes,Probably not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,78,66,88,32,100,100,100,100,100,100,100,100,90,100,35,100,50,50,29,100,100,80,80,95,70,59,59,100,70,100,59,90,88,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,White,Not Hispanic,Female,Right,63f7aeca74d23111b47e185b
